"","symbol","company","exchange","date.x","price","currency","actions","date.y","open","close","adjusted","returns","year"
"1","EVD.F","CTS Eventim AG","Frankfurt",2000-01-31,21.5,"EUR","Priced",2000-02-01,6.375,6.3,4.99093,-0.706976744186047,2000
"2","SLAB","Silicon Laboratories Inc","NasdaqGM",2000-03-24,31,"USD","Priced",2000-03-24,63,69.375,69.375,1.23790322580645,2000
"3","0764.HK","Ocean Shores Group Ltd","HKSE",2000-02-10,1.33,"HKD","Priced",2005-09-29,9984.209961,9984.209961,9946.558594,7505.92478270677,2000
"4","MTB.V","Mountain Boy Minerals Ltd","TSXV",2000-07-12,0.35,"CAD","Priced",2000-07-12,0.35,0.35,0.35,0,2000
"5","IAG.TO","Industrial-Alliance Life","Toronto",2000-02-10,15.75,"CAD","Priced",2000-02-10,8.5,8.7,5.096976,-0.447619047619048,2000
"6","2457.TW","Phihong Enterprises Co Ltd","Taiwan",2000-02-15,111,"TWD","Priced",2000-02-16,55.1992,55.1992,28.781498,-0.50270990990991,2000
"7","IFX.F","Infineon Technologies AG","Frankfurt",2000-03-14,35,"EUR","Priced",2000-03-14,71.5,79,69.923615,1.25714285714286,2000
"8","BRC.V","BRC Development Corp","TSXV",2000-02-24,0.5,"CAD","Priced",2000-07-20,0.35,0.4,0.4,-0.2,2000
"9","PTR","PetroChina Co Ltd","NYSE",2000-04-07,16.44,"USD","Priced",2000-04-06,16.4375,16.4375,7.569896,-0.000152068126520799,2000
"10","0643.HK","Carry Wealth Holdings Ltd","HKSE",2000-03-09,1,"HKD","Priced",2000-03-14,0.78389,0.70833,0.332258,-0.29167,2000
"11","0997.HK","Decca Holdings Ltd","HKSE",2000-03-07,1.52,"HKD","Priced",2000-03-10,2.69479,2.07188,-0.0031,0.363078947368421,2000
"12","600236.SS","Guangxi Guiguan Elec Power Co","Shanghai",2000-03-23,6.41,"CNY","Priced",2000-03-23,6.07143,6.51786,3.866722,0.0168268330733228,2000
"13","0866.HK","SUNDAY Communications Ltd","HKSE",2000-03-10,3.818,"HKD","Priced",2009-07-03,1.325,1.34,1.241346,-0.64903090623363,2000
"14","AFX.F","Asclepion Meditech AG","Frankfurt",2000-03-20,29,"EUR","Priced",2000-03-22,34.5,34.950001,31.149878,0.205172448275862,2000
"15","CPST","Capstone Turbine Corp","NasdaqGM",2000-06-29,16,"USD","Priced",2000-06-30,950,901.25,901.25,55.328125,2000
"16","MRVL","Marvell Technology Group Ltd","NasdaqGM",2000-06-26,15,"USD","Priced",2000-06-30,13.808575,14.25,12.60958,-0.05,2000
"17","GLJ.F","GrenkeLeasing AG","Frankfurt",2000-03-31,19,"EUR","Priced",2000-04-04,6.33333,6.33333,4.997529,-0.666666842105263,2000
"18","0927.HK","Fujikon Industrial Holdings","HKSE",2000-03-29,1,"HKD","Priced",2000-04-11,1.1,1.63,0.619842,0.63,2000
"19","NTG.PA","Netgem SA","Euronext",2000-04-06,17.5,"EUR","Priced",2000-04-12,17.5,17.290001,10.430823,-0.0119999428571429,2000
"20","SIM.CO","SimCorp A/S","Copenhagen",2000-04-13,375,"DKK","Priced",2000-04-17,37.5,35.099998,0.817323,-0.906400005333333,2000
"21","000971.SZ","Hubei Maiya Co Ltd","Shenzhen",2000-04-05,4.42,"CNY","Priced",2000-04-27,3.2862,3.37387,2.619502,-0.236680995475113,2000
"22","600008.SS","Beijing Capital Co Ltd","Shanghai",2000-04-05,8.98,"CNY","Priced",2000-04-27,3.21429,3.11071,1.033786,-0.653595768374165,2000
"23","LDL.PA","LDLC.com SA","Euronext",2000-04-13,7.5,"EUR","Priced",2000-04-17,7.2,7.2,5.374794,-0.0399999999999999,2000
